question,category
question,categoryhey,Greeting
good afternoon,Greeting
good evening,Greeting

can i start jogging again,Exercise Guidance
when can i return to sports,Exercise Guidance
is it safe to work out again,Exercise Guidance

how much should i drink after heat stress,Hydration Guidance
am i dehydrated,Hydration Guidance
what should i drink after exercise,Hydration Guidance

what should i eat after heat exhaustion,Diet and Recovery Nutrition
what foods restore energy,Diet and Recovery Nutrition
should i eat carbs after training,Diet and Recovery Nutrition

should i take a cold shower,Cooling Strategies
what is the fastest way to cool down,Cooling Strategies
can ice help recovery,Cooling Strategies

i feel lightheaded after training,Warning Symptoms
i almost passed out during practice,Warning Symptoms
i feel disoriented after exercise,Warning Symptoms
